sep=	
time (kilde1)	x	time (kilde1)	y	time (kilde1)	z	time (kilde1)	time
99.642	-132	101.119	-436	94.894	720	94.654	60045
99.674	-108	101.14	-472	94.924	860	94.675	60069
99.703	-124	101.173	-468	94.956	888	94.695	60093
99.753	-152	101.216	-464	94.98	1004	94.729	60124
99.779	-88	101.236	-388	95.006	1164	94.761	60152
99.806	-80	101.268	-348	95.031	1216	94.79	60183
99.87	-60	101.285	-364	95.06	1024	94.81	60212
99.895	-32	101.423	-392	95.089	920	94.837	60236
99.996	176	101.454	-464	95.115	816	94.895	60290
100.053	28	101.483	-364	95.142	872	94.919	60314
100.08	8	101.505	-464	95.176	880	94.956	60345
100.106	60	101.537	-468	95.196	872	94.981	60373
100.183	36	101.552	-408	95.248	744	95.007	60397
100.206	44	101.584	-396	95.278	904	95.026	60421
100.236	40	101.617	-432	95.297	860	95.055	60446
100.27	20	101.65	-424	95.34	980	95.087	60475
100.336	108	101.667	-480	95.362	984	95.107	60499
100.362	64	101.7	-448	95.391	872	95.141	60535
100.389	56	101.724	-464	95.405	640	95.195	60594
100.419	4	101.773	-540	95.458	676	95.225	60618
100.446	16	101.804	-492	95.489	688	95.244	60642
100.473	56	101.84	-464	95.524	772	95.27	60666
100.503	76	101.86	-516	95.556	752	95.292	60691
100.554	68	101.892	-476	95.579	816	95.336	60720
100.608	64	101.905	-468	95.615	1056	95.358	60751
100.636	72	102	-472	95.643	1012	95.388	60779
100.663	60	102.054	-484	95.672	848	95.42	60809
100.692	44	102.082	-484	95.696	596	95.442	60834
100.721	80	102.104	-452	95.728	632	95.473	60863
100.744	92	102.175	-464	95.757	620	95.503	60887
100.795	48	102.249	-484	95.788	812	95.522	60911
100.822	76	102.324	-464	95.829	784	95.542	60941
100.853	64	102.35	-460	95.861	764	95.573	60970
100.877	64	102.414	-468	95.889	764	95.606	61001
100.937	20	102.439	-456	95.915	764	95.628	61030
100.962	36	102.468	-460	95.945	832	95.663	61060
101.04	44	102.57	-460	95.975	840	95.703	61084
101.071	68	102.631	-444	96.006	804	95.72	61108
101.102	12	102.654	-452	96.026	768	95.773	61163
101.135	52	102.757	-436	96.045	720	95.803	61191
101.159	60	102.832	-440	96.078	704	95.821	61215
101.19	92	102.855	-432	96.097	740	95.853	61240
101.219	20	102.88	-436	96.131	788	95.886	61269
101.248	0	102.915	-436	96.16	804	95.902	61293
101.345	28	102.932	-444	96.244	808	95.926	61323
101.407	48	102.965	-440	96.271	808	95.956	61353
101.434	32	102.99	-444	96.292	844	95.993	61383
101.456	28	103.031	-440	96.354	828	96.02	61412
101.485	12	103.056	-432	96.377	828	96.036	61436
101.514	16	103.081	-448	96.413	884	96.076	61460
101.538	24	103.116	-412	96.442	864	96.104	61485
101.571	8	103.148	-440	96.472	856	96.122	61514
101.6	20	103.168	-428	96.498	804	96.152	61538
101.627	8	103.197	-428	96.524	844	96.219	61603
101.923	-20	103.23	-380	96.568	816	96.236	61628
101.938	-12	103.25	-440	96.605	832	96.271	61657
101.981	8	103.281	-456	96.631	828	96.295	61681
101.998	28	103.314	-432	96.688	884	96.322	61705
102.005	48	103.338	-424	96.714	832	96.34	61730
102.021	24	103.366	-424	96.736	848	96.369	61759
102.028	20	103.44	-428	96.771	876	96.402	61789
102.054	-4	103.47	-416	96.793	900	96.438	61818
102.062	20	103.502	-444	96.82	900	96.462	61847
102.078	4	103.554	-420	96.85	924	96.489	61873
102.09	-4	103.584	-416	96.888	908	96.519	61902
102.12	12	103.63	-436	97.16	964	96.536	61926
102.154	24	103.664	-420	97.177	936	96.562	61950
102.173	4	103.698	-416	97.194	900	96.602	61980
102.205	-4	103.715	-408	97.223	892	96.624	62009
102.228	-4	103.747	-400	97.229	888	96.653	62034
102.256	4	103.771	-400	97.261	896	96.672	62063
102.32	20	103.801	-408	97.269	896	96.702	62087
102.372	4	103.854	-440	97.285	880	96.735	62117
102.402	8	103.885	-424	97.292	896	96.786	62171
102.452	28	103.916	-428	97.313	916	96.81	62201
102.473	20	103.968	-432	97.327	872	96.845	62230
102.536	24	103.996	-436	97.335	916	96.869	62254
102.558	12	104.071	-420	97.349	928	96.886	62279
102.587	20	104.101	-412	97.375	924	96.919	62308
102.619	-4	104.134	-408	97.404	904	96.952	62332
102.66	0	104.215	-408	97.425	924	96.971	62356
102.786	-12	104.231	-416	97.457	900	97.005	62387
102.804	4	104.265	-408	97.488	916	97.035	62415
102.836	20	104.298	-420	97.509	900	97.07	62464
102.858	12	104.351	-420	97.539	912	97.127	62517
102.971	16	104.373	-412	97.559	912	97.157	62541
103.004	20	104.629	-416	97.595	916	97.192	62571
103.026	32	104.639	-424	97.625	920	97.22	62600
103.054	48	104.656	-416	97.658	912	97.252	62636
103.073	40	104.681	-416	97.68	900	97.286	62667
103.139	28	104.719	-400	97.706	920	97.319	62696
103.219	20	104.745	-408	97.787	924	97.339	62720
103.242	-16	104.772	-416	97.871	904	97.369	62744
103.272	8	104.799	-400	97.894	904	97.401	62774
103.298	-4	104.828	-408	97.913	892	97.423	62803
103.327	12	104.849	-420	97.972	916	97.453	62834
103.356	-16	104.879	-412	98.006	888	97.471	62863
103.388	-28	104.912	-412	98.033	888	97.501	62887
103.405	68	104.935	-408	98.061	928	97.535	62917
103.436	28	105.03	-416	98.09	928	97.558	62941
103.46	44	105.062	-396	98.112	900	97.585	62965
103.486	-40	105.097	-404	98.141	888	97.62	62996
103.518	-12	105.121	-412	98.159	904	97.643	63024
103.552	-60	105.148	-412	98.191	876	97.67	63048
103.585	-56	105.204	-376	98.223	920	97.701	63073
103.607	-124	105.231	-380	98.246	900	97.718	63102
103.626	-80	105.247	-392	98.279	864	97.752	63126
103.681	-76	105.283	-328	98.31	864	97.767	63150
103.768	64	105.313	-320	98.375	908	97.802	63181
103.802	-12	105.396	-404	98.442	904	97.835	63209
103.824	-40	105.428	-508	98.472	924	97.852	63240
103.853	-64	105.453	-488	98.49	1012	97.885	63269
103.886	-76	105.48	-376	98.525	908	97.919	63293
103.926	-8	105.512	-348	98.571	872	97.937	63318
103.956	-92	105.563	-356	98.613	884	97.961	63347
103.99	-64	105.584	-276	98.64	968	97.986	63371
104.041	-24	105.614	-272	98.69	1156	98.022	63402
104.07	-76	105.638	-364	98.721	884	98.049	63436
104.096	16	105.668	-416	98.743	920	98.083	63461
104.12	8	105.698	-340	98.772	904	98.117	63490
104.152	16	105.721	-364	98.805	968	98.142	63514
104.179	-52	105.746	-328	98.841	872	98.174	63538
104.206	-52	105.804	-400	98.862	888	98.197	63563
104.232	-48	105.831	-500	98.91	988	98.243	63622
104.279	-32	105.882	-484	98.955	860	98.27	63651
104.311	-60	105.914	-428	98.975	876	98.297	63675
104.343	-60	105.945	-440	99.108	980	98.364	63730
104.372	-52	105.979	-444	99.138	888	98.437	63814
104.399	-48	106.003	-396	99.161	1004	98.46	63842
104.424	-48	106.03	-428	99.209	924	98.489	63867
104.453	-72	106.079	-404	99.24	904	98.527	63896
104.484	-80	106.111	-352	99.273	980	98.555	63920
104.593	-68	106.165	-400	99.324	960	98.826	64063
104.651	-68	106.194	-444	99.356	972	98.842	64087
104.669	-72	106.218	-492	99.376	924	98.868	64112
104.699	-52	106.245	-516	99.4	924	98.89	64141
104.724	-56	106.296	-476	99.43	872	98.905	64165
104.753	-68	106.329	-512	99.463	884	98.926	64196
104.785	-60	106.415	-332	99.492	944	98.934	64230
104.816	-76	106.431	-300	99.52	920	98.95	64255
104.848	-80	106.462	-328	99.533	876	98.957	64284
104.892	-72	106.495	-192	99.593	888	98.979	64308
104.916	-72	106.518	-244	99.625	888	98.992	64332
104.941	-88	106.579	-264	99.653	932	99	64357
104.97	-80	106.597	-220	99.685	936	99.015	64386
105.001	-76	106.662	-324	99.707	920	99.041	64416
105.033	-80	106.687	-352	99.736	924	99.071	64445
105.054	-100	106.714	-328	99.754	892	99.091	64469
105.083	-88	106.745	-428	99.772	936	99.122	64499
105.169	-104	106.828	-580	99.804	932	99.154	64524
105.202	-100	106.85	-540	99.838	896	99.185	64553
105.258	-100	106.886	-420	99.875	936	99.206	64577
105.306	-96	106.901	-472	99.893	936	99.235	64608
105.335	-100	106.932	-480	99.922	888	99.268	64636
105.371	-96	107.028	-336	99.953	904	99.293	64667
105.403	-112	107.047	-308	99.977	928	99.323	64696
105.462	-92	107.08	-284	100.002	916	99.353	64720
105.487	-100	107.109	-296	100.036	928	99.37	64745
105.515	-96	107.13	-384	100.068	932	99.388	64774
105.539	-104	107.148	-332	100.1	944	99.421	64798
105.567	-112	107.18	-292	100.12	924	99.453	64829
105.599	-136	107.21	-372	100.139	920	99.486	64857
105.624	-116	107.261	-260	100.17	932	99.504	64881
105.653	-104	107.316	-276	100.203	920	99.536	64906
105.684	-112	107.347	-340	100.219	920	99.568	64935
105.716	-108	107.379	-296	100.255	924	99.586	64959
105.735	-128	107.431	-324	100.286	912	99.605	64983
105.785	-132	107.461	-436	100.305	928	99.641	65019
105.816	-108	107.502	-572	100.337	916	99.676	65049
105.849	-84	107.533	-508	100.355	936	99.757	65126
105.876	-92	107.569	-544	100.386	952	99.787	65151
105.899	-104	107.61	-628	100.457	928	99.809	65180
105.932	-108	107.63	-632	100.485	944	99.835	65204
105.965	-96	107.66	-600	100.505	920	99.858	65235
106.011	-100	107.701	-684	100.539	916	99.892	65263
106.037	-100	107.73	-668	100.558	932	99.92	65292
106.087	-100	107.762	-360	100.589	964	99.952	65318
106.116	-92	107.786	-208	100.659	948	99.984	65347
106.149	-104	107.814	-32	100.686	956	100.02	65396
106.172	-104	107.844	136	100.743	896	100.051	65425
106.201	-92	107.868	104	100.77	936	100.084	65454
106.232	-112	107.895	52	100.802	924	100.109	65484
106.266	-108	107.926	20	100.821	924	100.138	65508
106.285	-120	107.951	-188	100.853	896	100.156	65532
106.315	-120	107.978	-324	100.877	892	100.241	65616
106.338	-112	108.01	-296	100.906	960	100.285	65647
106.385	-116	108.085	-244	100.937	936	100.318	65675
106.417	-100	108.119	-208	100.968	924	100.357	65724
106.484	-104	108.146	-228	100.991	944	100.387	65753
106.514	-100	108.176	-392	101.027	948	100.416	65777
106.534	-104	108.198	-396	101.068	936	100.437	65807
106.555	-104	108.226	-324	101.101	944	100.47	65837
106.608	-116	108.278	-304	101.133	968	100.507	65867
106.638	-112	108.311	-356	101.152	956	100.536	65896
106.668	-120	108.332	-380	101.216	936	100.554	65920
106.699	-112	108.362	-324	101.237	932	100.584	65944
106.751	-116	108.393	-296	101.255	948	100.65	66022
106.783	-128	108.426	-356	101.291	932	100.669	66053
106.969	-120	108.447	-364	101.321	952	100.719	66087
107	-124	108.497	-400	101.339	928	100.752	66112
107.024	-112	108.516	-380	101.37	928	100.775	66141
107.049	-112	108.572	-476	101.404	904	100.803	66165
107.063	-120	108.644	-84	101.434	928	100.834	66189
107.07	-112	108.676	-116	101.451	948	100.839	66214
107.08	-124	108.697	-212	101.484	984	100.884	66243
107.084	-132	108.727	-236	101.517	956	100.907	66273
107.089	-124	108.748	-228	101.542	944	100.941	66302
107.118	-128	108.777	-184	101.566	940	100.954	66326
107.148	-120	108.829	-308	101.601	952	100.992	66357
107.17	-120	108.864	-332	101.62	936	101.023	66386
107.197	-124	108.893	-416	101.634	940	101.041	66410
107.221	-132	108.915	-484	101.667	948	101.074	66435
107.25	-128	108.942	-480	101.702	956	101.104	66464
107.281	-136	108.966	-460	101.734	948	101.135	66493
107.306	-120	109.025	-536	101.758	932	101.158	66518
107.331	-120	109.051	-628	101.786	952	101.185	66547
107.352	-128	109.079	-688	101.807	952	101.207	66571
107.406	-108	109.108	-664	101.855	952	101.225	66601
107.446	-124	109.128	-636	101.889	948	101.301	66655
107.469	-124	109.158	-648	101.921	940	101.318	66685
107.498	-112	109.182	-600	101.943	952	101.375	66738
107.52	-116	109.218	-488	101.985	956	101.401	66763
107.55	-108	109.245	-432	102.003	956	101.422	66792
107.581	-88	109.266	-424	102.035	956	101.442	66816
107.631	-132	109.294	-472	102.053	944	101.471	66840
107.664	-104	109.475	-432	102.251	932	101.507	66876
107.745	-152	109.485	-236	102.279	960	101.548	66906
107.772	-132	109.512	-200	102.304	948	101.565	66935
107.803	-128	109.539	-204	102.324	948	101.59	66959
107.83	-160	109.566	-224	102.334	952	101.62	66983
107.854	-168	109.594	-260	102.342	928	101.669	67037
107.881	-140	109.604	-288	102.351	932	101.714	67068
107.903	-148	109.617	-412	102.355	928	101.736	67096
107.931	-156	109.631	-452	102.37	932	101.766	67126
107.964	-140	109.644	-496	102.401	944	101.788	67156
107.984	-120	109.658	-488	102.426	936	101.807	67180
108.014	-112	109.665	-496	102.452	948	101.836	67204
108.04	-192	109.681	-456	102.476	956	101.868	67228
108.067	-208	109.712	-476	102.503	956	101.885	67253
108.149	-264	109.741	-476	102.537	944	101.921	67282
108.18	-280	109.767	-516	102.567	948	101.952	67312
108.206	-232	109.795	-460	102.583	936	101.974	67341
108.228	-252	109.824	-428	102.603	960	102.001	67365
108.264	-252	109.849	-456	102.633	956	102.024	67395
108.287	-244	109.878	-452	102.654	944	102.054	67420
108.317	-220	109.909	-408	102.688	956	102.072	67449
108.348	-180	109.935	-460	102.723	940	102.132	67480
108.379	-204	109.963	-456	102.75	964	102.15	67508
108.426	-248	109.992	-428	102.774	960	102.174	67539
108.45	-220	110.016	-380	102.799	1008	102.231	67592
108.48	-192	110.047	-384	102.833	980	102.257	67617
108.514	-200	110.081	-404	102.874	1056	102.284	67646
108.536	-184	110.109	-412	102.915	844	102.332	67682
108.563	-136	110.133	-424	102.939	760	102.353	67711
108.644	-72	110.182	-448	103.024	1016	102.371	67742
108.672	-28	110.214	-540	103.053	1136	102.414	67771
108.702	-56	110.245	-508	103.083	912	102.438	67795
108.73	-48	110.294	-408	103.117	776	102.467	67819
108.755	20	110.325	-360	103.136	892	102.49	67844
108.804	200	110.348	-408	103.187	960	102.521	67873
108.835	60	110.377	-456	103.216	856	102.548	67904
108.864	188	110.408	-592	103.24	912	102.574	67932
108.897	208	110.433	-448	103.267	1056	102.604	67963
108.93	112	110.462	-400	103.3	1076	102.634	67992
108.972	148	110.497	-356	103.322	816	102.664	68016
109.002	148	110.527	-268	103.349	776	102.673	68040
109.033	112	110.559	-276	103.434	1036	102.698	68064
109.063	156	110.607	-320	103.457	1156	102.736	68094
109.084	52	110.629	-44	103.515	952	102.766	68123
109.115	48	110.66	-200	103.54	928	102.82	68183
109.17	148	110.678	-428	103.601	904	102.847	68213
109.198	-204	110.712	-592	103.632	860	102.886	68237
109.231	-168	110.742	-668	103.655	836	102.904	68261
109.28	-132	110.775	-364	103.706	876	102.924	68285
109.337	20	110.798	-444	103.734	884	102.964	68316
109.367	116	110.858	-480	103.755	784	103.007	68368
109.396	176	110.891	-404	103.792	900	103.038	68393
109.429	184	110.916	-452	103.818	860	103.072	68422
109.449	176	110.944	-436	103.85	976	103.099	68446
109.479	104	110.974	-464	103.923	1040	103.117	68476
109.53	68	110.998	-388	103.955	1060	103.151	68506
109.549	72	111.026	-356	103.982	1080	103.214	68565
109.579	28	111.049	-520	104.002	1108	103.232	68589
109.602	-96	111.078	-552	104.039	1024	103.266	68613
109.633	-160	111.107	-528	104.057	1032	103.289	68638
109.665	-108	111.142	-648	104.09	1176	103.303	68667
109.696	-40	111.161	-448	104.118	824	103.332	68691
109.722	-16	111.19	-316	104.15	836	103.368	68722
109.749	-24	111.212	-264	104.17	816	103.4	68756
109.77	-12	111.24	-96	104.205	892	103.431	68781
109.801	-40	111.264	-20	104.224	988	103.452	68810
109.83	-108	111.294	136	104.25	940	103.484	68834
109.849	-160	111.327	-60	104.289	904	103.501	68858
109.879	-8	111.357	-48	104.316	960	103.523	68883
109.914	4	111.379	-136	104.34	960	103.564	68912
109.947	-104	111.397	-180	104.368	884	103.588	68942
109.98	-64	111.417	52	104.391	684	103.616	68971
110	8	111.475	-8	104.451	1316	103.649	69000
110.029	108	111.54	256	104.482	668	103.67	69026
110.047	108	111.566	-72	104.515	784	103.7	69055
110.079	16	111.592	96	104.533	784	103.899	69079
110.101	40	111.625	88	104.565	768	103.921	69138
110.133	-60	111.649	-208	104.582	960	103.93	69169
110.163	-292	111.679	76	104.615	956	103.954	69198
110.185	-320	111.708	-160	104.65	964	103.979	69222
110.214	-224	111.732	-108	104.68	1012	103.988	69247
110.246	-196	111.762	-328	104.705	1204	104	69281
110.266	-152	111.79	-272	104.733	1304	104.006	69306
110.298	-388	111.813	-316	104.756	1308	104.015	69336
110.328	-372	111.843	-232	104.781	1288	104.019	69365
110.352	-204	111.875	-244	104.806	1256	104.039	69390
110.38	-224	111.908	-280	104.833	1248	104.069	69419
110.399	-268	111.931	-312	104.864	1196	104.097	69443
110.431	-304	111.96	-308	104.914	932	104.12	69467
110.465	-292	111.983	-252	104.949	1068	104.147	69492
110.495	-324	112.011	-276	104.981	900	104.171	69521
110.517	-416	112.042	-300	105.004	808	104.205	69550
110.545	-328	112.059	-272	105.057	684	104.233	69580
110.568	-236	112.094	-296	105.085	672	104.25	69604
110.595	-48	112.126	-276	105.102	664	104.272	69628
110.621	-52	112.149	-264	105.131	644	104.298	69652
110.652	-76	112.176	-264	105.166	808	104.322	69677
110.68	-84	112.206	-268	105.198	844	104.362	69706
110.711	12	112.227	-280	105.234	828	104.397	69737
110.736	-20	112.278	-280	105.256	788	104.417	69765
110.766	-60	112.315	-264	105.284	808	104.447	69794
110.796	-104	112.341	-276	105.301	1028	104.465	69820
110.828	-52	112.363	-280	105.334	964	104.501	69849
110.846	188	112.394	-288	105.354	776	104.546	69897
110.895	20	112.424	-284	105.384	1124	104.58	69927
110.958	276	112.443	-276	105.417	1220	104.613	69956
110.982	-24	112.479	-264	105.44	1556	104.628	69987
111.017	-116	112.51	-272	105.468	1804	104.697	70040
111.045	-132	112.529	-288	105.498	1936	104.729	70070
111.068	-124	112.56	-292	105.521	1840	104.749	70094
111.095	-64	112.581	-276	105.549	1320	104.781	70118
111.12	-80	112.613	-272	105.582	1160	104.811	70149
111.15	-136	112.642	-276	105.604	1104	104.818	70177
111.209	-100	112.693	-288	105.634	964	104.854	70201
111.234	-64	112.728	-284	105.653	800	104.881	70226
111.262	-60	112.747	-276	105.681	628	104.912	70255
111.286	-56	112.777	-276	105.715	684	104.934	70279
111.314	-40	112.81	-272	105.748	824	104.965	70303
111.366	-36	112.829	-280	105.772	752	104.996	70334
111.397	-52	112.859	-292	105.8	668	105.017	70362
111.428	-28	112.877	-272	105.831	764	105.036	70393
111.448	-16	112.91	-272	105.868	944	105.06	70422
111.477	-16	112.928	-276	105.904	896	105.101	70446
111.499	-16	112.962	-272	105.935	856	105.129	70471
111.528	-32	112.991	-284	105.965	852	105.212	70555
111.561	-40	113.014	-288	105.988	828	105.232	70589
111.594	8	113.047	-284	106.018	648	105.269	70614
111.612	12	113.075	-276	106.049	592	105.298	70643
111.643	0	113.096	-280	106.073	684	105.329	70667
111.665	-20	113.124	-276	106.099	920	105.378	70716
111.863	80	113.165	-272	106.13	1336	105.401	70745
111.888	124	113.215	-284	106.147	1220	105.429	70775
111.916	140	113.263	-280	106.167	1280	105.463	70804
111.945	192	113.294	-280	106.232	2040	105.486	70828
111.953	200	113.327	-276	106.266	1300	105.515	70858
111.967	208	113.359	-280	106.3	1060	105.533	70883
111.982	184	113.38	-268	106.33	936	105.596	70936
111.994	148	113.417	-284	106.35	836	105.648	70995
112.002	152	113.466	-280	106.381	768	105.67	71020
112.015	152	113.526	-276	106.402	660	105.712	71049
112.028	176	113.591	-276	106.431	596	105.73	71073
112.062	220	113.609	-272	106.497	884	105.763	71097
112.082	260	113.639	-284	106.516	928	105.786	71128
112.114	264	113.693	-280	106.547	824	105.815	71157
112.145	292	106.568	804	105.846	71187
112.164	320	106.596	740	105.895	71240
112.195	352	106.613	672	105.916	71265
112.227	324	106.653	736	105.962	71294
112.25	304	106.681	824	105.984	71318
112.28	376	106.704	884	106.011	71342
112.311	340	106.732	908	106.035	71378
112.334	320	106.756	992	106.064	71408
112.362	348	106.783	1024	106.121	71461
112.394	356	106.813	1024	106.148	71485
112.427	376	106.848	912	106.181	71510
112.453	368	106.871	968	106.199	71539
112.48	392	106.896	1064	106.23	71569
112.51	364	106.919	1400	106.248	71598
112.527	404	107.104	1320	106.282	71628
112.561	432	107.116	908	106.318	71658
112.594	272	107.148	752	106.35	71682
112.626	292	107.175	692	106.378	71706
112.644	260	107.2	676	106.401	71730
112.668	188	107.218	788	106.428	71755
112.697	108	107.232	856	106.447	71784
112.719	-28	107.246	1004	106.478	71813
112.746	24	107.254	1032	106.5	71838
112.779	32	107.267	1020	106.53	71867
112.812	-100	107.281	972	106.548	71891
112.843	-4	107.287	944	106.579	71922
112.876	-204	107.313	872	106.614	71951
112.898	-224	107.338	880	106.646	71982
112.927	-212	107.369	884	106.678	72010
112.949	-108	107.397	896	106.685	72034
112.977	-12	107.42	876	106.728	72059
113.009	-160	107.447	820	106.751	72088
113.06	192	107.479	848	106.77	72112
113.083	-96	107.506	844	106.799	72136
113.118	24	107.537	748	106.83	72172
113.146	156	107.565	784	106.865	72202
113.177	92	107.595	760	106.9	72231
113.201	92	107.616	672	106.928	72255
113.232	112	107.646	652	106.951	72279
113.262	60	107.68	796	106.977	72304
113.292	-20	107.713	812	106.999	72333
113.318	-84	107.734	788	107.03	72357
113.346	-104	107.762	764	107.062	72388
113.369	-144	107.781	748	107.082	72416
113.396	-44	107.813	836	107.113	72446
113.425	-184	107.847	980	107.136	72471
113.449	-336	107.871	904	107.165	72500
113.477	-280	107.898	788	107.194	72524
113.509	-300	107.921	944	107.228	72549
113.532	-308	107.949	1144	107.248	72578
113.561	-248	107.98	1320	107.277	72607
113.583	-92	108.001	1312	107.303	72637
113.61	280	108.031	1084	107.327	72661
113.642	436	108.062	1216	107.346	72685
113.677	352	108.088	1128	107.381	72716
113.697	516	108.129	1148	107.416	72745
113.73	456	108.153	1012	107.447	72769
113.879	476	108.182	800	107.467	72800
113.911	312	108.2	684	107.512	72852
113.964	348	108.231	816	107.543	72877
113.994	360	108.262	660	107.578	72906
114.027	420	108.286	784	107.603	72930
114.05	508	108.305	912	107.631	72960
114.082	292	108.346	700	107.661	72990
114.11	128	108.366	668	107.695	73020
114.132	452	108.399	944	107.717	73049
114.16	232	108.429	1076	107.745	73073
114.192	32	108.449	1000	107.767	73097
114.216	184	108.515	988	107.795	73122
114.25	224	108.546	988	107.813	73151
114.277	268	108.569	1032	107.836	73175
114.31	344	108.6	1136	107.861	73206
114.33	368	108.629	1072	107.901	73239
114.361	328	108.651	792	107.933	73265
114.38	276	108.679	820	107.968	73294
114.409	236	108.711	940	107.995	73318
114.442	204	108.731	868	108.019	73343
114.476	256	108.765	920	108.046	73372
114.496	288	108.795	736	108.076	73402
114.526	308	108.815	748	108.096	73431
114.546	320	108.845	684	108.118	73461
114.576	272	108.865	820	108.161	73486
114.597	264	108.896	1080	108.185	73515
114.626	248	108.927	784	108.213	73539
114.66	272	108.953	1068	108.243	73563
114.681	272	108.98	1148	108.262	73588
114.71	288	109.004	1360	108.278	73617
114.744	284	109.029	1192	108.318	73646
114.764	268	109.046	892	108.348	73671
114.793	268	109.103	1016	108.376	73700
114.817	268	109.163	1224	108.399	73724
114.849	288	109.194	1100	108.427	73754
114.879	296	109.216	1404	108.45	73778
114.9	280	109.28	1136	108.478	73808
114.929	268	109.313	820	108.515	73838
114.963	272	109.361	604	108.563	73891
115.04	276	109.394	756	108.594	73916
115.067	276	109.414	1112	108.781	74000
115.116	264	109.445	1020	108.813	74034
115.148	276	109.468	940	108.84	74059
115.179	284	109.499	1148	108.865	74088
115.261	264	109.531	988	108.882	74112
115.309	280	109.563	904	108.897	74136
115.334	284	109.585	888	108.911	74161
115.362	280	109.614	816	108.918	74190
115.396	276	109.636	904	108.932	74221
115.416	264	109.664	964	108.946	74249
115.444	272	109.684	1004	108.951	74273
115.51	264	109.719	1004	108.978	74304
115.544	268	109.751	976	109.009	74333
115.561	272	109.78	956	109.043	74357
115.61	276	109.802	916	109.063	74381
115.643	276	109.829	896	109.093	74411
115.676	268	109.853	944	109.115	74440
115.698	272	109.878	972	109.146	74471
115.729	276	109.912	968	109.177	74500
115.756	284	109.944	968	109.209	74525
115.782	276	109.964	944	109.232	74559
115.806	264	109.996	928	109.261	74584
115.837	268	110.02	932	109.284	74609
115.866	280	110.068	960	109.312	74638
115.926	276	110.102	964	109.344	74668
115.959	268	110.133	960	109.379	74697
115.988	268	110.162	932	109.41	74721
116.008	276	110.184	944	109.429	74745
116.034	284	110.214	948	109.448	74770
110.247	968	109.478	74799
110.265	956	109.511	74835
110.328	932	109.546	74864
110.366	944	109.565	74888
110.378	956	109.592	74913
110.4	964	109.618	74942
110.433	948	109.646	74966
110.463	948	109.675	74990
110.482	932	109.698	75021
110.501	956	109.729	75049
110.536	956	109.761	75080
110.596	940	109.794	75116
110.616	936	109.826	75145
110.645	940	109.848	75169
110.679	960	109.867	75193
110.699	956	109.9	75218
110.729	948	109.927	75247
110.753	932	109.959	75276
110.8	960	109.977	75301
110.847	952	110.011	75330
110.896	944	110.034	75360
110.928	948	110.075	75385
110.952	960	110.095	75414
110.982	960	110.117	75445
111.005	956	110.146	75473
111.04	940	110.183	75504
111.063	952	110.213	75533
111.089	956	110.244	75557
111.112	956	110.276	75581
111.15	952	110.295	75606
111.214	960	110.325	75640
111.239	952	110.345	75665
111.272	944	110.377	75694
111.288	940	110.4	75718
111.317	936	110.433	75742
110.46	75766
110.484	75791
110.51	75820
110.534	75851
110.562	75879
110.596	75910
110.625	75939
110.648	75963
110.679	75987
110.694	76011
110.775	76095
110.83	76153
110.892	76208
110.911	76232
110.977	76291
110.995	76315
111.026	76340
111.059	76369
111.083	76393
111.111	76423
111.142	76453
111.174	76483
111.197	76512
111.229	76536
111.259	76560
111.28	76585
111.308	76614
111.359	76669
111.394	76703
111.425	76728
111.446	76757
111.475	76781
111.497	76805
111.525	76830
111.543	76859
111.58	76889
111.609	76918
111.631	76947
111.661	76973
111.693	77002
111.71	77026
111.742	77050
111.777	77080
111.8	77109
111.828	77134
111.86	77163
111.879	77187
111.912	77217
111.931	77242
111.943	77271
112.044	77354
112.076	77379
112.099	77408
112.13	77432
112.148	77456
112.174	77487
112.208	77515
112.225	77540
112.261	77569
112.292	77593
112.326	77617
112.344	77641
112.373	77671
112.394	77700
112.429	77737
112.464	77767
112.478	77796
112.516	77820
112.528	77844
112.561	77869
112.593	77898
112.627	77928
112.649	77957
112.675	77981
112.707	78011
112.728	78036
112.765	78065
112.788	78096
112.817	78124
112.831	78155
112.88	78184
112.913	78208
112.936	78233
112.954	78262
