sep="\t" (tab)
time (source1)	x	time (source1)	y	time (source1)	z	time (source1)	str	time (source1)	time
40.499	-148	40.502	-36	40.2	-144	40.713	340	40.313	355054
40.603	-8	40.602	-24	40.301	-164	40.819	984	40.413	355155
40.704	-336	40.702	44	40.402	-24	40.92	845	40.513	355257
40.806	-916	40.806	212	40.507	-36	41.022	1016	40.623	355358
40.907	-1404	40.907	-576	40.607	8	41.107	696	40.72	355460
41.009	-872	41.008	-472	40.713	-36	41.227	3352	40.827	355562
41.111	-576	41.22	1812	40.815	-292	41.326	634	40.925	355670
41.216	2040	41.316	476	40.918	104	41.423	2942	41.026	355765
41.318	800	41.415	-368	41.02	224	41.529	3210	41.111	355867
41.518	-92	41.517	-284	41.225	-1948	41.628	1293	41.231	355968
41.624	2040	41.622	24	41.324	488	41.738	211	41.329	356071
41.729	-84	41.733	156	41.423	1248	41.835	362	41.428	356172
41.824	96	41.828	-344	41.527	1504	41.937	1285	41.534	356274
41.927	1108	41.931	-304	41.627	-1252	42.042	1068	41.638	356376
42.03	-72	42.03	64	41.738	116	42.137	1015	41.744	356482
42.131	16	42.136	-292	41.833	60	42.252	1016	41.842	356579
42.234	12	42.239	-4	41.938	576	42.343	996	41.946	356680
42.337	-16	42.338	-36	42.039	1064	42.449	999	42.046	356782
42.439	16	42.439	-80	42.25	1016	42.531	996	42.144	356884
42.644	-12	42.642	-124	42.342	996	42.651	999	42.258	356985
42.742	-12	42.748	-112	42.443	996	42.752	994	42.348	357086
42.847	-12	42.847	-108	42.648	992	42.853	993	42.455	357187
42.948	-8	42.948	-116	42.751	988	42.948	994	42.543	357289
43.051	-12	43.049	-120	42.851	988	43.06	995	42.655	357391
